train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,87189.93,2536.664,87189.93,89726.59,84653.266,86983.01,4192.0835,88061.53,92426.38,74418.125,180001,2852.9729290008545,433.7807,157.15527,443.9787,618.3936,-3.4747238,432.7513,157.47397,445.10513,697.41266,-4.1370883,-2.4785872,180000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,45041.484,3375.6543,45041.484,48417.137,41665.83,48912.977,7517.279,47191.96,68665.766,40248.707,190001,3013.167904138565,224.08699,148.36446,228.69438,486.65454,-1.740785,243.34816,147.49834,266.32755,617.9074,0.088478975,-2.4785872,190000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,51517.496,4226.1094,51517.496,55743.605,47291.387,58483.594,7075.643,57831.215,68952.36,48189.78,200001,3180.692875623703,256.30594,152.27803,277.42172,638.22626,-1.540916,290.96317,127.913826,347.59247,678.0291,-0.043696843,-2.4785872,200000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,52902.48,2045.9648,52902.48,54948.445,50856.516,55336.094,2081.0703,55840.332,58644.805,50378.457,210001,3339.8913292884827,263.19644,165.89671,266.09888,740.4703,-2.8196611,275.30396,169.1036,274.5405,774.1779,1.498665,-2.4785872,210000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,54856.5,35.333984,54856.5,54891.832,54821.164,53797.43,4441.823,53059.734,66048.92,48387.574,220001,3498.333031654358,272.9179,155.8695,289.0659,754.25604,-2.8075037,267.6489,152.23244,292.60745,755.23016,0.8965328,-2.4785872,220000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,56668.594,1129.8535,56668.594,57798.45,55538.742,58090.945,2978.5117,57981.438,67187.81,54008.992,230001,3658.441955089569,281.9333,178.26382,270.47388,768.082,-4.4802375,289.0097,174.31432,296.42798,786.80695,-0.92903227,-2.4785872,230000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,62476.305,5411.412,62476.305,67887.72,57064.895,56281.656,4532.517,55398.74,68533.95,50711.055,240001,3817.384663581848,310.8274,135.90749,359.73477,755.84937,-7.3249516,280.00824,159.75258,309.80328,788.7516,-0.16248555,-2.4785872,240000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,76822.28,1426.2578,76822.28,78248.54,75396.02,81549.234,4907.6104,80274.08,91572.22,74988.86,250001,3985.8415484428406,382.2004,204.04243,366.17285,794.67255,-2.8919113,405.71753,217.63521,374.19467,804.2162,-0.19474643,-2.4785872,250000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,90747.52,1638.1172,90747.52,92385.64,89109.41,87795.414,3849.6267,87500.15,94207.69,79856.2,260001,4145.819352149963,451.48022,173.44995,511.18265,730.1039,-11.949231,436.79306,179.28044,495.31598,745.3405,-3.7246356,-2.4785872,260000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,60806.047,1148.7832,60806.047,61954.83,59657.26,63904.727,8233.9375,61191.332,89020.945,55842.414,270001,4306.285103559494,302.51764,162.4355,356.2697,583.79004,-1.8451318,317.934,157.86147,359.86212,584.273,0.009709726,-2.4785872,270000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,60322.906,6368.578,60322.906,66691.484,53954.33,60764.758,3432.6282,61165.152,66773.65,52195.992,280001,4467.162593126297,300.11395,170.75,329.0259,625.0325,-2.5456526,302.31226,163.4333,331.78027,589.73785,-1.957075,-2.4785872,280000
201.0,0.0,201.0,201,201,201.0,0.0,201.0,201,201,114155.984,132.82812,114155.984,114288.81,114023.16,113955.664,512.32733,114050.62,114325.734,111813.05,290001,4626.929528236389,567.94025,15.94926,570.1,601.49023,391.6882,566.9436,26.488329,570.1,610.19714,-6.054221,-2.4785872,290000
