train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,Train_AverageReturn,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
135,0,135,135,135,56.97260273972603,32.1988567,56,15,201,150,0,150,150,150,242.60274,203.70558,260,0,950,250001,2519.1091985702515,1.1111112,4.9690404,0,0,50,4.258235,13.433123,0,0,400,30,250000
84.5,78.5,84.5,6,163,69.06666666666666,25.28231705274569,66,18,137,985,985,985,0,1970,273.5,192.15294,200,30,920,260001,2617.157575368881,11.656805,69.94233,0,0,800,3.959942,14.048982,0,0,400,30,260000
54,8,54,46,62,71.22413793103448,31.26088395,63,19,153,85,85,85,0,170,287.7586,203.32617,215,40,1120,270001,2713.3471331596375,1.574074,3.8877861,0,0,20,4.040184,14.850741,0,0,410,30,270000
77,38,77,39,115,65.796875,27.998984182187307,60,20,189,480,280,480,200,760,257.34375,186.46584,235,0,1090,280001,2814.699696779251,6.233766,18.554165,0,0,200,3.911185,12.081836,0,0,400,30,280000
81,0,81,81,81,83.97959184,46.10303004603102,58,17,186,420,0,420,420,420,306.12244,323.1403,160,0,1560,290001,2913.107476234436,5.185185,12.776435,0,0,100,3.6452005,16.951952,0,0,800,30,290000
42.666666666666664,24.073960113690383,32,20,76,67.62295081967213,41.09890666426032,59,14,199,140,148.99664,50,20,350,294.09836,295.35962,230,0,1540,300001,3011.017429113388,3.28125,4.695306,0,0,10,4.349091,14.124789,0,0,400,30,300000
66.5,5.5,66.5,61,72,65.31746031746032,23.72047899408321,61,20,128,260,50,260,210,310,276.50793,180.2041,280,40,940,310001,3111.2192871570587,3.9097745,17.59334,0,0,200,4.233293,15.622025,0,0,400,30,310000
39.5,37.73923687622737,23,8,104,73.64285714285714,41.44593232299702,57,6,201,107.5,147.54237,35,0,360,315.35715,302.6783,225,0,1110,320001,3212.1313621997833,2.721519,6.2286334,0,0,60,4.2822504,14.705114,0,0,410,30,320000
44.5,5.5,44.5,39,50,72.43103448275862,39.13993994540418,59,17,201,215,25,215,190,240,339.65518,336.0263,205,0,1880,330001,3313.769189596176,4.8314605,4.997159,0,0,10,4.6893597,19.319656,0,0,800,30,330000
78,0,78,78,78,71.08620689655173,41.664209598580356,55,13,201,230,0,230,230,230,323.10345,330.29877,225,0,1930,340001,3412.2465052604675,2.9487178,6.814194,0,0,50,4.545234,14.771461,0,0,410,30,340000
